idx ax ay az gx gy gz
430 2076 2048 2568 7 33 58
431 2076 2048 2568 8 35 56
432 2072 2048 2568 6 34 58
433 2072 2048 2568 7 32 57
434 2072 2048 2568 7 35 57
435 2072 2048 2568 8 34 57
436 2072 2048 2568 7 35 60
437 2076 2048 2568 6 33 58
438 2076 2048 2568 6 34 58
439 2076 2048 2568 7 33 59
440 2076 2048 2568 8 33 59
441 2076 2048 2568 6 34 58
442 2076 2048 2568 7 33 58
443 2076 2048 2568 7 33 58
444 2076 2048 2568 6 33 59
445 2076 2048 2568 4 32 58
446 2076 2048 2568 6 32 56
447 2076 2048 2568 6 36 59
448 2076 2048 2568 7 34 61
449 2076 2048 2568 6 33 57
450 2076 2048 2568 7 32 58
451 2076 2048 2568 6 34 58
452 2076 2048 2568 7 33 57
453 2076 2048 2568 7 33 57
454 2076 2048 2568 7 35 58
455 2076 2048 2568 6 32 58
456 2076 2048 2568 6 34 58
457 2076 2048 2568 7 34 58
458 2076 2048 2568 5 34 57
459 2076 2048 2568 6 36 57
460 2076 2048 2568 7 33 58
461 2076 2048 2572 7 34 58
462 2076 2048 2572 6 35 57
463 2076 2048 2568 6 34 57
464 2076 2048 2572 6 33 58
465 2076 2048 2568 6 35 57
466 2076 2044 2568 7 36 59
467 2076 2044 2568 6 35 58
468 2076 2044 2568 6 34 56
469 2076 2048 2568 7 34 56
470 2076 2048 2568 6 34 59
471 2076 2048 2568 5 34 56
472 2076 2048 2568 8 33 59
473 2076 2048 2568 7 35 59
474 2076 2048 2568 7 33 57
475 2076 2048 2568 8 34 58
476 2076 2048 2568 6 35 58
477 2076 2048 2568 5 32 59
478 2076 2048 2568 6 35 57
479 2076 2048 2568 7 34 56
480 2076 2048 2568 7 35 58
481 2076 2048 2568 5 35 56
482 2076 2048 2568 7 34 56
483 2076 2048 2568 5 34 57
484 2076 2048 2572 7 33 57
485 2072 2048 2572 7 35 56
486 2072 2048 2572 7 34 58
487 2076 2048 2572 7 33 58
488 2076 2048 2572 5 36 57
489 2076 2048 2572 8 34 58
490 2076 2048 2572 9 33 57
491 2076 2048 2572 8 33 57
492 2076 2048 2572 6 35 58
493 2076 2048 2572 7 35 58
494 2076 2048 2572 8 34 57
495 2076 2048 2572 8 34 57
496 2076 2048 2572 8 33 59
497 2076 2052 2572 6 34 57
498 2076 2048 2572 9 32 56
499 2076 2048 2572 7 34 57
500 2076 2048 2572 8 36 58
501 2076 2048 2568 6 35 57
502 2076 2048 2568 7 33 59
503 2072 2048 2568 7 34 57
504 2076 2048 2568 5 34 59
505 2076 2048 2568 7 34 58
506 2076 2048 2568 5 33 56
507 2076 2048 2568 4 34 56
508 2076 2048 2568 8 33 57
509 2076 2048 2568 5 35 56
510 2076 2048 2568 7 34 57
511 2076 2048 2568 6 36 58
512 2076 2048 2568 7 32 58
513 2076 2048 2568 4 33 58
514 2076 2048 2568 7 34 59
515 2076 2048 2568 7 35 57
516 2076 2048 2568 5 33 57
517 2076 2048 2568 5 32 58
518 2076 2048 2568 6 33 57
519 2076 2048 2568 6 37 57
520 2076 2048 2568 4 34 57
521 2076 2048 2568 5 32 58
522 2076 2048 2568 7 32 56
523 2076 2048 2568 7 31 59
524 2076 2048 2568 6 33 57
525 2076 2048 2568 5 32 56
526 2076 2048 2568 6 33 56
527 2076 2048 2568 8 33 58
528 2076 2048 2568 8 33 57
529 2076 2048 2568 6 35 57
530 2076 2048 2568 8 34 59
531 2076 2048 2568 8 34 57
532 2076 2048 2568 6 34 58
533 2076 2048 2568 4 35 58
534 2076 2048 2568 7 34 58
535 2076 2048 2568 7 35 57
536 2076 2048 2568 7 33 56
537 2076 2048 2568 8 37 56
538 2076 2048 2568 6 34 56
539 2076 2048 2568 7 34 58
540 2076 2048 2568 7 32 57
541 2076 2048 2568 7 35 57
542 2076 2048 2568 6 33 58
543 2076 2048 2568 7 34 56
544 2076 2048 2568 6 34 57
545 2072 2048 2568 7 33 58
546 2072 2048 2568 6 33 56
547 2072 2048 2568 8 34 58
548 2072 2048 2568 7 34 58
549 2076 2048 2568 6 33 56
550 2072 2048 2568 5 34 57
551 2072 2048 2568 7 34 56
552 2076 2048 2568 5 37 57
553 2076 2048 2568 9 36 57
554 2076 2048 2568 7 35 57
555 2076 2048 2568 7 34 57
556 2076 2044 2568 9 35 57
557 2076 2048 2568 6 35 58
558 2076 2048 2568 5 36 58
559 2076 2048 2568 6 35 57
560 2076 2048 2568 6 34 57
561 2076 2048 2568 6 35 57
562 2076 2048 2568 5 33 58
563 2076 2048 2568 8 34 58
564 2076 2048 2568 6 36 57
565 2076 2048 2568 6 35 59
566 2076 2048 2568 8 31 57
567 2076 2048 2568 7 34 57
568 2076 2048 2568 7 34 58
569 2076 2048 2568 5 36 58
570 2076 2048 2568 7 34 59
571 2076 2048 2568 6 34 58
572 2076 2048 2568 7 34 58
573 2076 2048 2568 6 35 58
574 2076 2044 2568 5 35 55
575 2076 2048 2568 7 35 58
576 2076 2044 2568 7 33 57
577 2076 2044 2568 6 35 55
578 2076 2044 2568 6 33 58
579 2076 2044 2568 8 36 57
580 2076 2048 2568 7 33 56
581 2076 2048 2568 8 32 59
582 2076 2048 2568 6 33 56
583 2076 2048 2568 6 35 58
584 2076 2048 2568 4 33 57
585 2076 2048 2568 6 32 59
586 2076 2048 2568 6 34 58
587 2076 2048 2568 9 33 58
588 2076 2048 2568 5 33 58
589 2072 2052 2568 7 36 58
590 2072 2052 2568 8 35 58
591 2072 2048 2568 6 31 57
592 2072 2048 2568 7 38 56
593 2072 2048 2568 7 36 57
594 2076 2048 2568 6 33 58
595 2076 2048 2568 7 33 56
596 2076 2048 2568 7 35 60
597 2076 2048 2568 5 33 58
598 2076 2048 2568 7 36 57
599 2076 2048 2568 7 34 59
600 2076 2048 2568 7 33 60
601 2076 2048 2568 4 34 59
602 2076 2048 2568 6 35 58
603 2072 2048 2568 5 35 57
604 2076 2048 2568 8 31 58
605 2076 2048 2568 6 35 57
606 2076 2048 2568 7 32 59
607 2076 2048 2568 7 34 59
608 2076 2048 2568 6 34 58
609 2076 2048 2568 5 33 58
610 2076 2048 2568 5 36 59
611 2076 2048 2568 5 34 59
612 2076 2048 2572 7 33 58
613 2076 2048 2572 6 34 57
614 2076 2048 2572 7 34 57
615 2076 2048 2568 7 32 58
616 2076 2048 2572 7 33 58
617 2076 2048 2572 6 33 56
618 2076 2048 2572 7 35 59
619 2076 2048 2572 6 35 58
620 2076 2048 2572 6 32 58
621 2076 2048 2572 8 34 60
622 2076 2048 2572 7 35 58
623 2076 2048 2572 7 36 57
624 2076 2048 2572 6 35 60
625 2076 2048 2572 6 33 59
626 2076 2048 2572 7 36 58
627 2076 2048 2572 8 34 58
628 2076 2048 2568 7 34 56
629 2076 2048 2568 6 30 57
630 2076 2048 2568 6 35 59
631 2076 2048 2568 6 31 57
632 2076 2048 2568 7 34 59
633 2076 2048 2568 7 32 58
634 2076 2048 2568 7 31 58
635 2076 2048 2572 6 34 58
636 2076 2048 2572 7 32 57
637 2076 2048 2572 8 34 59
638 2076 2048 2572 6 34 58
639 2076 2048 2572 8 33 58
640 2076 2048 2572 7 34 57
641 2076 2048 2572 7 35 57
642 2076 2048 2572 7 35 58
643 2076 2048 2568 6 36 59
644 2076 2048 2568 8 33 58
645 2076 2048 2568 7 33 57
646 2076 2048 2568 7 34 59
647 2076 2048 2568 6 33 60
648 2076 2048 2568 7 32 58
649 2076 2048 2568 7 33 57
650 2076 2048 2568 8 33 56
651 2076 2048 2568 5 33 58
652 2076 2048 2572 5 33 58
653 2076 2048 2572 8 34 56
654 2076 2048 2568 6 32 58
655 2076 2048 2568 7 35 57
656 2076 2048 2568 7 33 57
657 2076 2048 2568 8 35 58
658 2076 2048 2568 7 34 57
659 2076 2048 2568 6 32 57
660 2076 2048 2568 6 33 58
661 2076 2048 2568 5 34 59
662 2076 2048 2564 6 33 58
663 2076 2048 2568 6 34 58
664 2076 2048 2568 5 32 58
665 2076 2048 2568 7 35 57
666 2076 2048 2568 6 35 58
667 2076 2048 2568 5 33 59
668 2076 2048 2568 4 33 56
669 2076 2048 2568 6 34 56
670 2076 2048 2568 7 35 58
671 2076 2048 2572 8 35 57
672 2076 2048 2568 7 33 58
673 2076 2048 2568 7 34 57
674 2076 2048 2568 8 33 56
675 2076 2048 2568 7 36 57
676 2076 2048 2568 5 33 59
677 2072 2048 2568 5 34 59
678 2072 2048 2568 7 34 56
679 2072 2048 2568 7 34 57
680 2072 2048 2568 8 33 59
681 2072 2048 2568 6 33 58
682 2072 2048 2568 6 33 57
683 2072 2048 2568 7 34 56
684 2072 2048 2568 7 34 58
685 2072 2048 2568 5 32 59
686 2076 2048 2568 6 34 58
687 2072 2048 2568 6 34 60
688 2076 2048 2568 5 33 58
689 2072 2048 2568 6 36 57
690 2072 2048 2568 7 34 58
691 2072 2048 2568 6 33 57
692 2072 2048 2568 7 35 58
693 2072 2048 2568 5 37 56
694 2072 2048 2568 8 36 59
695 2072 2048 2568 7 35 55
696 2072 2048 2568 6 34 57
697 2072 2048 2568 6 30 56
698 2072 2048 2568 5 34 59
699 2072 2048 2568 8 34 57
700 2072 2048 2568 5 35 57
701 2076 2048 2568 5 33 57
702 2076 2048 2568 8 31 58
703 2076 2048 2568 6 33 58
704 2076 2048 2568 6 34 58
705 2076 2048 2568 8 34 58
706 2076 2048 2568 6 32 57
707 2076 2048 2568 7 35 56
708 2076 2048 2568 8 36 58
709 2076 2048 2568 8 34 58
710 2076 2048 2568 6 33 57
711 2076 2048 2568 8 33 58
712 2076 2048 2568 7 34 58
713 2076 2048 2568 5 35 59
714 2076 2048 2568 7 34 57
715 2076 2048 2568 5 34 59
716 2076 2048 2568 5 33 58
717 2076 2048 2572 5 32 58
718 2076 2048 2572 5 34 58
719 2076 2048 2572 6 34 58
720 2076 2048 2568 6 33 58
721 2076 2048 2568 6 34 61
722 2076 2048 2568 6 33 59
723 2076 2044 2568 9 36 57
724 2076 2044 2568 8 32 58
725 2076 2044 2568 7 35 57
726 2076 2048 2568 8 33 57
727 2076 2048 2568 6 34 59
728 2076 2048 2568 6 34 59
729 2076 2048 2568 5 35 56
730 2076 2048 2572 6 34 56
731 2076 2048 2572 7 34 58
732 2076 2048 2572 6 33 57
733 2076 2048 2568 6 32 56
734 2076 2048 2568 8 34 58
735 2076 2048 2568 6 32 57
736 2076 2048 2568 7 35 58
737 2076 2048 2568 6 32 57
738 2076 2048 2568 7 33 59
739 2076 2048 2568 7 33 60
740 2076 2048 2568 7 33 58
741 2076 2048 2568 7 34 58
742 2076 2048 2568 6 34 58
743 2076 2048 2568 6 34 58
744 2076 2048 2568 6 34 57
745 2072 2048 2568 6 35 57
746 2072 2048 2568 7 34 58
747 2072 2048 2568 7 34 58
748 2072 2048 2568 6 35 58
749 2072 2048 2568 4 33 58
750 2072 2048 2568 7 33 58
751 2076 2048 2568 7 34 60
752 2076 2048 2568 7 36 58
753 2076 2048 2568 6 34 58
754 2076 2048 2568 6 36 58
755 2076 2048 2564 7 36 58
756 2076 2048 2564 5 36 56
757 2076 2048 2564 9 34 56
758 2076 2048 2564 8 35 57
759 2076 2048 2564 7 34 57
760 2076 2048 2568 5 34 58
761 2076 2048 2568 5 34 58
762 2076 2048 2568 7 35 56
763 2080 2044 2568 8 34 58
764 2080 2044 2568 7 33 58
765 2080 2044 2568 7 33 58
766 2080 2048 2568 7 35 58
767 2080 2048 2568 4 35 58
768 2080 2048 2568 5 35 57
769 2076 2048 2568 6 33 58
770 2076 2048 2568 7 33 58
771 2076 2048 2568 8 34 57
772 2076 2048 2568 7 34 59
773 2076 2048 2568 7 35 57
774 2076 2048 2572 8 35 59
775 2076 2048 2568 9 34 58
776 2076 2048 2568 4 33 58
777 2076 2048 2572 5 35 57
778 2076 2048 2568 6 35 59
779 2076 2048 2572 6 33 58
780 2076 2048 2572 7 34 57
781 2076 2048 2572 9 33 58
782 2076 2048 2572 7 35 57
783 2076 2048 2572 7 34 57
784 2076 2048 2572 6 35 58
785 2076 2048 2572 7 34 58
786 2076 2048 2572 6 35 58
787 2076 2048 2572 7 33 57
788 2076 2048 2572 6 32 58
789 2076 2048 2568 6 33 58
790 2076 2048 2568 5 34 57
791 2076 2048 2568 5 34 57
792 2076 2048 2568 4 35 59
793 2076 2048 2568 6 33 58
794 2076 2048 2568 7 36 56
795 2076 2048 2568 8 33 59
796 2076 2048 2568 6 33 57
797 2076 2048 2568 7 33 58
798 2076 2048 2568 6 33 58
799 2076 2048 2568 7 32 58
800 2076 2048 2568 5 33 58
801 2076 2048 2568 7 34 57
802 2076 2048 2568 6 33 59
803 2076 2048 2568 6 34 58
804 2076 2044 2568 5 34 59
805 2076 2044 2564 7 34 58
806 2076 2048 2564 6 34 57
807 2076 2048 2564 8 33 57
808 2076 2048 2564 8 35 55
809 2076 2044 2568 6 33 57
810 2076 2044 2568 6 36 58
811 2076 2044 2568 7 34 59
812 2076 2048 2564 7 36 58
813 2076 2048 2568 4 34 57
814 2076 2048 2568 7 35 58
815 2076 2048 2568 7 35 57
816 2076 2048 2568 6 33 58
817 2076 2048 2564 6 33 57
818 2076 2048 2564 6 32 58
819 2076 2048 2568 7 34 57
820 2076 2048 2568 6 36 58
