t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.475,7442,0.01,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,38,56
0.480,7443,-0.05,-0.06,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,38,55
0.485,7444,0.07,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,19,37,55
0.490,7445,-0.05,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,37,55
0.495,7446,-0.05,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,17,37,55
0.500,7447,0.01,-0.12,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,39,56
0.505,7448,-0.12,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,16,37,56
0.510,7449,0.07,0.12,0.07,-0.020,-0.020,-1.003,2072,2060,2576,19,35,55
0.515,7450,-0.05,0.06,-0.12,-0.020,-0.020,-1.003,2072,2060,2576,17,36,58
0.520,7451,0.01,0.06,0.13,-0.020,-0.020,-1.003,2072,2060,2576,18,36,54
0.525,7452,-0.05,0.06,-0.12,-0.020,-0.020,-0.995,2072,2060,2572,17,36,58
0.530,7453,0.07,-0.00,0.01,-0.028,-0.020,-0.995,2068,2060,2572,19,37,56
0.535,7454,-0.05,-0.06,0.07,-0.028,-0.020,-0.995,2068,2060,2572,17,38,55
0.540,7455,-0.12,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,16,37,56
0.545,7456,-0.12,0.06,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,16,36,57
0.550,7457,0.01,0.12,0.07,-0.028,-0.012,-0.995,2068,2056,2572,18,35,55
0.555,7458,-0.05,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,36,57
0.560,7459,0.01,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,36,55
0.565,7460,0.07,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,37,56
0.570,7461,-0.05,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,36,55
0.575,7462,0.01,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,38,56
0.580,7463,-0.05,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,36,56
0.585,7464,0.01,0.12,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,35,55
0.590,7465,0.07,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,39,56
0.595,7466,-0.05,-0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,38,57
0.600,7467,0.01,-0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,38,55
0.605,7468,-0.12,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,16,37,56
0.610,7469,0.01,-0.12,0.13,-0.020,-0.012,-0.995,2072,2056,2572,18,39,54
0.615,7470,0.07,-0.00,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,19,37,58
0.620,7471,0.01,-0.18,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,18,40,58
0.626,7472,0.01,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,38,56
0.630,7473,0.01,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,36,57
0.635,7474,0.01,-0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,38,55
0.640,7475,0.01,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,36,55
