t,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw
2.902,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.945,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.981,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.020,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.059,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.102,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.142,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.184,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.227,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.262,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.297,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
3.340,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.377,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.413,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.454,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.497,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.540,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.579,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.621,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.665,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.704,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.742,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.777,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.821,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.864,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.907,ARMED,LAND,1.00,-1.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.949,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
3.992,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.035,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.078,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.116,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.154,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.197,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.234,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.277,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.320,DISARMED,idle,-1.00,0.00,-1.00,-1.000,0.000,0.000,0.000,,,,
4.364,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.400,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.441,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.481,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.515,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.556,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.595,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.638,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.676,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.713,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
4.756,EMERGENCY,EMERGENCY CUT,-1.00,0.00,1.00,-1.000,0.000,0.000,0.000,,,,
